"","occupation","prob_computerization","tot_employed","women","black","asian","hisp_latino"
"29","Wholesale and Retail Buyers Except Farm Products",0.29078,207,"53.1","6.4","4.4","11.8"
"30","Purchasing Agents Except Wholesale Retail and Farm Products",0.76914,272,"48.0","9.9","6.2","11.6"
"31","Compliance Officers",0.079639,270,"57.1","12.4","7.9","10.0"
"32","Cost Estimators",0.56857,113,"12.0","2.9","3.2","8.3"
"33","Logisticians",0.011679,115,"32.3","17.0","6.9","12.0"
"34","Management Analysts",0.12898,902,"41.7","9.0","10.7","7.9"
"35","Meeting Convention and Event Planners",0.03744,162,"77.6","8.6","4.5","11.1"
"36","Compensation Benefits and Job Analysis Specialists",0.46764,77,"72.1","17.8","7.2","8.5"
"37","Training and Development Specialists",0.014465,156,"60.7","12.0","3.0","10.3"
"38","Market Research Analysts and Marketing Specialists",0.61294,302,"55.0","5.0","8.8","8.3"
"39","Business Operations Specialists All Other",0.23168,290,"60.9","13.7","4.7","13.5"
"40","Accountants and Auditors",0.93506,1777,"61.3","8.5","10.9","9.0"
"41","Appraisers and Assessors of Real Estate",0.9036,73,"35.6","5.5","2.2","9.5"
"42","Budget Analysts",0.93784,53,"51.3","16.8","8.6","5.6"
"43","Credit Analysts",0.97851,27,"Ð","Ð","Ð","Ð"
"44","Financial Analysts",0.2325,307,"36.9","6.5","12.8","10.9"
"45","Personal Financial Advisors",0.58151,513,"31.6","6.0","7.7","7.1"
"46","Insurance Underwriters",0.98908,104,"62.5","9.6","6.3","4.9"
"47","Financial Examiners",0.17046,14,"Ð","Ð","Ð","Ð"
"48","Tax Examiners and Collectors and Revenue Agents",0.93449,68,"63.8","15.8","8.1","13.3"
"49","Tax Preparers",0.98712,108,"63.2","8.5","5.3","14.9"
"50","Financial Specialists All Other",0.33113,68,"55.7","16.8","5.4","13.6"
"51","Computer and Information Research Scientists",0.015059,20,"Ð","Ð","Ð","Ð"
"52","Computer Systems Analysts",0.006453,526,"35.7","10.8","17.6","6.7"
"53","Computer Programmers",0.4807,466,"22.6","7.6","19.8","6.7"
"54","Database Administrators",0.029787,90,"46.2","4.4","16.2","2.9"
"55","Network and Computer Systems Administrators",0.029618,218,"17.1","9.6","10.8","9.4"
"56","Computer Support Specialists",0.64856,570,"25.5","9.8","12.6","7.8"
"57","Actuaries",0.2059,14,"Ð","Ð","Ð","Ð"
"58","Mathematicians",0.046723,4,"Ð","Ð","Ð","Ð"
"59","Operations Research Analysts",0.034784,129,"55.4","11.2","12.9","10.4"
"60","Statisticians",0.21839,74,"52.5","8.4","19.8","3.9"
"61","Aerospace Engineers",0.01708,130,"7.8","2.6","9.3","7.3"
"62","Agricultural Engineers",0.4877,2,"Ð","Ð","Ð","Ð"
"63","Biomedical Engineers",0.037344,13,"Ð","Ð","Ð","Ð"
"64","Chemical Engineers",0.016861,79,"20.1","4.1","10.3","6.6"
"65","Civil Engineers",0.019266,425,"10.8","3.6","7.7","10.4"
"66","Computer Hardware Engineers",0.22477,69,"24.7","5.3","29.2","12.0"
"67","Environmental Engineers",0.017798,33,"Ð","Ð","Ð","Ð"
"68","Marine Engineers and Naval Architects",0.010282,13,"Ð","Ð","Ð","Ð"
"69","Materials Engineers",0.020929,31,"Ð","Ð","Ð","Ð"
"70","Mechanical Engineers",0.010554,350,"6.4","4.2","10.5","5.5"
"71","Mining and Geological Engineers Including Mining Safety Engineers",0.14045,9,"Ð","Ð","Ð","Ð"
"72","Nuclear Engineers",0.0701,7,"Ð","Ð","Ð","Ð"
"73","Petroleum Engineers",0.15728,36,"Ð","Ð","Ð","Ð"
"74","Engineers All Other",0.01407,539,"12.2","7.2","18.2","6.1"
"75","Surveying and Mapping Technicians",0.96001,83,"7.9","3.7","3.2","7.4"
"76","Atmospheric and Space Scientists",0.66783,6,"Ð","Ð","Ð","Ð"
"77","Physical Scientists All Other",0.42828,261,"45.0","4.9","26.9","9.7"
"78","Economists",0.42888,26,"Ð","Ð","Ð","Ð"
"79","Survey Researchers",0.23112,3,"Ð","Ð","Ð","Ð"
"80","Sociologists",0.058622,3,"Ð","Ð","Ð","Ð"
"81","Urban and Regional Planners",0.13067,38,"Ð","Ð","Ð","Ð"
